pvalues_mESC_low padj_mESC_low
UNCX 0.000202885850872635 0.00273219612508482
MEIS2 0.000202885850872635 0.00273219612508482
TGIF2 0.000202885850872635 0.00273219612508482
TP63 0.000202885850872635 0.00273219612508482
GBX1 0.000202885850872635 0.00273219612508482
Prrx2 0.000398090734294023 0.00492332622412607
Hic1 0.000398090734294023 0.00492332622412607
ZBED1 0.000398090734294023 0.00492332622412607
HESX1 0.000398090734294023 0.00492332622412607
Lhx3 0.000756782704672822 0.00751820195133984
MEF2C 0.000756782704672822 0.00751820195133984
Hes2 0.000756782704672822 0.00751820195133984
ISX 0.000756782704672822 0.00751820195133984
PDX1 0.000756782704672822 0.00751820195133984
VSX2 0.000756782704672822 0.00751820195133984
MEIS1 0.000756782704672822 0.00751820195133984
TBX1 0.000756782704672822 0.00751820195133984
MNT 0.000756782704672822 0.00751820195133984
Tcf21 0.000756782704672822 0.00751820195133984
BARX1 0.000756782704672822 0.00751820195133984
CDX1 0.000756782704672822 0.00751820195133984
Arntl 0.00139421723034599 0.0112652752211956
NKX6-2 0.00139421723034599 0.0112652752211956
OLIG2 0.00139421723034599 0.0112652752211956
TFEB 0.00139421723034599 0.0112652752211956
VAX1 0.00139421723034599 0.0112652752211956
YY2 0.00139421723034599 0.0112652752211956
MEF2A 0.00139421723034599 0.0112652752211956
POU4F1 0.00139421723034599 0.0112652752211956
HES5 0.00139421723034599 0.0112652752211956
CEBPD 0.00139421723034599 0.0112652752211956
TFEC 0.00139421723034599 0.0112652752211956
EVX2 0.00139421723034599 0.0112652752211956
GSX2 0.00139421723034599 0.0112652752211956
HOXB2 0.00139421723034599 0.0112652752211956
Arid3a 0.00248986836793923 0.0171461389883088
Arid3b 0.00248986836793923 0.0171461389883088
Mlxip 0.00248986836793923 0.0171461389883088
BHLHE41 0.00248986836793923 0.0171461389883088
MAFG 0.00248986836793923 0.0171461389883088
MEF2B 0.00248986836793923 0.0171461389883088
TBX2 0.00248986836793923 0.0171461389883088
MSX2 0.00248986836793923 0.0171461389883088
NOTO 0.00248986836793923 0.0171461389883088
HIC2 0.00248986836793923 0.0171461389883088
POU4F3 0.00248986836793923 0.0171461389883088
Hoxd3 0.00248986836793923 0.0171461389883088
MAFK 0.00248986836793923 0.0171461389883088
Arnt 0.00431153589314395 0.0266611301147473
JUN 0.00431153589314395 0.0266611301147473
Nfe2l2 0.00431153589314395 0.0266611301147473
Arid5a 0.00431153589314395 0.0266611301147473
ESX1 0.00431153589314395 0.0266611301147473
HNF1A 0.00431153589314395 0.0266611301147473
MSC 0.00431153589314395 0.0266611301147473
MYF6 0.00431153589314395 0.0266611301147473
TBX4 0.00431153589314395 0.0266611301147473
CEBPE 0.00431153589314395 0.0266611301147473
Id2 0.00724149065396276 0.0417937460600136
MIXL1 0.00724149065396276 0.0417937460600136
T 0.00724149065396276 0.0417937460600136
CLOCK 0.00724149065396276 0.0417937460600136
CEBPB 0.00724149065396276 0.0417937460600136
Hmx3 0.00724149065396276 0.0417937460600136
MYCN 0.00724149065396276 0.0417937460600136
HNF1B 0.0118006012947196 0.0591005321041328
PAX4 0.0118006012947196 0.0591005321041328
LMX1A 0.0118006012947196 0.0591005321041328
LMX1B 0.0118006012947196 0.0591005321041328
CUX1 0.0118006012947196 0.0591005321041328
BHLHE23 0.0118006012947196 0.0591005321041328
TP53 0.0118006012947196 0.0591005321041328
EVX1 0.0118006012947196 0.0591005321041328
GSX1 0.0118006012947196 0.0591005321041328
HOXB13 0.0118006012947196 0.0591005321041328
HOXB3 0.0118006012947196 0.0591005321041328
Hoxb5 0.0118006012947196 0.0591005321041328
BACH2 0.0118006012947196 0.0591005321041328
MAFF 0.0118006012947196 0.0591005321041328
MYC 0.0118006012947196 0.0591005321041328
ZNF384 0.0118006012947196 0.0591005321041328
STAT1-STAT2 0.018664278050906 0.0825587773638615
Hoxa9 0.018664278050906 0.0825587773638615
Hes1 0.018664278050906 0.0825587773638615
NEUROD2 0.018664278050906 0.0825587773638615
Pitx1 0.018664278050906 0.0825587773638615
TBX21 0.018664278050906 0.0825587773638615
RFX3 0.018664278050906 0.0825587773638615
TBX15 0.018664278050906 0.0825587773638615
Atoh1 0.018664278050906 0.0825587773638615
BHLHE40 0.018664278050906 0.0825587773638615
HES7 0.018664278050906 0.0825587773638615
SREBF2(var.2) 0.018664278050906 0.0825587773638615
Srebf1(var.2) 0.018664278050906 0.0825587773638615
EMX2 0.018664278050906 0.0825587773638615
GATA6 0.018664278050906 0.0825587773638615
SIX1 0.018664278050906 0.0825587773638615
FOXF2 0.0286624059284723 0.112060761242931
Foxd3 0.0286624059284723 0.112060761242931
TAL1-TCF3 0.0286624059284723 0.112060761242931
Gata4 0.0286624059284723 0.112060761242931
BATF-JUN 0.0286624059284723 0.112060761242931
Bhlha15 0.0286624059284723 0.112060761242931
GSC 0.0286624059284723 0.112060761242931
PAX7 0.0286624059284723 0.112060761242931
Lhx4 0.0286624059284723 0.112060761242931
MEF2D 0.0286624059284723 0.112060761242931
RFX4 0.0286624059284723 0.112060761242931
MGA 0.0286624059284723 0.112060761242931
TBR1 0.0286624059284723 0.112060761242931
Hmx1 0.0286624059284723 0.112060761242931
HOXD13 0.0286624059284723 0.112060761242931
NEUROD1 0.0286624059284723 0.112060761242931
TWIST1 0.0286624059284723 0.112060761242931
ZSCAN4 0.0286624059284723 0.112060761242931
Mecom 0.0427550052225658 0.149766087658236
CEBPA 0.0427550052225658 0.149766087658236
Gata1 0.0427550052225658 0.149766087658236
ALX3 0.0427550052225658 0.149766087658236
MSX1 0.0427550052225658 0.149766087658236
POU4F2 0.0427550052225658 0.149766087658236
VENTX 0.0427550052225658 0.149766087658236
GLI2 0.0427550052225658 0.149766087658236
CUX2 0.0427550052225658 0.149766087658236
ONECUT2 0.0427550052225658 0.149766087658236
ONECUT3 0.0427550052225658 0.149766087658236
GATA5 0.0427550052225658 0.149766087658236
PAX3 0.0427550052225658 0.149766087658236
TBX5 0.0427550052225658 0.149766087658236
HEY1 0.0427550052225658 0.149766087658236
MAX 0.0427550052225658 0.149766087658236
TEF 0.0427550052225658 0.149766087658236
Barhl1 0.0427550052225658 0.149766087658236
CDX2 0.0619769423351658 0.200845064465831
DBP 0.0619769423351658 0.200845064465831
HOXC11 0.0619769423351658 0.200845064465831
RUNX3 0.0619769423351658 0.200845064465831
MEOX2 0.0619769423351658 0.200845064465831
EOMES 0.0619769423351658 0.200845064465831
BHLHE22 0.0619769423351658 0.200845064465831
OLIG3 0.0619769423351658 0.200845064465831
CREB3L1 0.0619769423351658 0.200845064465831
FOXB1 0.0619769423351658 0.200845064465831
GSC2 0.0619769423351658 0.200845064465831
Hmx2 0.0619769423351658 0.200845064465831
HOXC10 0.0619769423351658 0.200845064465831
GATA2 0.0619769423351658 0.200845064465831
REST 0.0873491140681235 0.265997804649663
NRF1 0.0873491140681235 0.265997804649663
FOXP2 0.0873491140681235 0.265997804649663
ONECUT1 0.0873491140681235 0.265997804649663
PAX9 0.0873491140681235 0.265997804649663
PROX1 0.0873491140681235 0.265997804649663
OLIG1 0.0873491140681235 0.265997804649663
FOXC1 0.0873491140681235 0.265997804649663
FOXO6 0.0873491140681235 0.265997804649663
SOX8 0.0873491140681235 0.265997804649663
MXI1 0.0873491140681235 0.265997804649663
FOS-JUN 0.0873491140681235 0.265997804649663
TBP 0.119760017314095 0.33913350697356
Hoxc9 0.119760017314095 0.33913350697356
DUX4 0.119760017314095 0.33913350697356
Tcf12 0.119760017314095 0.33913350697356
Bach1-Mafk 0.119760017314095 0.33913350697356
HEY2 0.119760017314095 0.33913350697356
NKX6-1 0.119760017314095 0.33913350697356
TBX20 0.119760017314095 0.33913350697356
MNX1 0.119760017314095 0.33913350697356
VAX2 0.119760017314095 0.33913350697356
HSF4 0.119760017314095 0.33913350697356
Creb5 0.119760017314095 0.33913350697356
HOXD12 0.119760017314095 0.33913350697356
HOXD11 0.119760017314095 0.33913350697356
TFE3 0.119760017314095 0.33913350697356
RUNX1 0.159829520636648 0.42668145156744
FOSL2 0.159829520636648 0.42668145156744
Creb3l2 0.159829520636648 0.42668145156744
LBX1 0.159829520636648 0.42668145156744
GRHL1 0.159829520636648 0.42668145156744
LHX2 0.159829520636648 0.42668145156744
IRF7 0.159829520636648 0.42668145156744
RFX2 0.159829520636648 0.42668145156744
XBP1 0.159829520636648 0.42668145156744
FOXC2 0.159829520636648 0.42668145156744
DUXA 0.159829520636648 0.42668145156744
HOXC12 0.159829520636648 0.42668145156744
SIX2 0.159829520636648 0.42668145156744
FOXD1 0.207774179806113 0.520294020506216
Foxq1 0.207774179806113 0.520294020506216
Foxa2 0.207774179806113 0.520294020506216
Gfi1b 0.207774179806113 0.520294020506216
IRF1 0.207774179806113 0.520294020506216
Dux 0.207774179806113 0.520294020506216
FOXO3 0.207774179806113 0.520294020506216
ZBTB18 0.207774179806113 0.520294020506216
PAX1 0.207774179806113 0.520294020506216
Ascl2 0.207774179806113 0.520294020506216
FOXO4 0.207774179806113 0.520294020506216
FOXP3 0.207774179806113 0.520294020506216
TP73 0.207774179806113 0.520294020506216
E2F1 0.207774179806113 0.520294020506216
FOSL2-JUN 0.207774179806113 0.520294020506216
Gfi1 0.263298325535456 0.609002997230863
RXRA-VDR 0.263298325535456 0.609002997230863
HLTF 0.263298325535456 0.609002997230863
Npas2 0.263298325535456 0.609002997230863
HLF 0.263298325535456 0.609002997230863
PITX3 0.263298325535456 0.609002997230863
SCRT1 0.263298325535456 0.609002997230863
POU6F2 0.263298325535456 0.609002997230863
TBX19 0.263298325535456 0.609002997230863
FIGLA 0.263298325535456 0.609002997230863
ATF4 0.263298325535456 0.609002997230863
Foxj3 0.263298325535456 0.609002997230863
Arx 0.263298325535456 0.609002997230863
BSX 0.263298325535456 0.609002997230863
HOXA2 0.263298325535456 0.609002997230863
Hoxa11 0.263298325535456 0.609002997230863
FOXK2 0.263298325535456 0.609002997230863
FOS-JUNB 0.263298325535456 0.609002997230863
FOSB-JUNB 0.263298325535456 0.609002997230863
PPARA-RXRA 0.263298325535456 0.609002997230863
GATA1-TAL1 0.325535324872188 0.717361479536532
Six3 0.325535324872188 0.717361479536532
BARHL2 0.325535324872188 0.717361479536532
TFAP4 0.325535324872188 0.717361479536532
LBX2 0.325535324872188 0.717361479536532
Lhx8 0.325535324872188 0.717361479536532
MEIS3 0.325535324872188 0.717361479536532
ID4 0.325535324872188 0.717361479536532
HOXC13 0.325535324872188 0.717361479536532
NFYA 0.325535324872188 0.717361479536532
GATA3 0.325535324872188 0.717361479536532
FOSL2-JUND 0.325535324872188 0.717361479536532
IRF4 0.325535324872188 0.717361479536532
Hand1-Tcf3 0.393057757332318 0.841671381425387
NFYB 0.393057757332318 0.841671381425387
FOXH1 0.393057757332318 0.841671381425387
Crx 0.393057757332318 0.841671381425387
FOXA1 0.393057757332318 0.841671381425387
FOXD2 0.393057757332318 0.841671381425387
FOS-JUND 0.393057757332318 0.841671381425387
RARA-RXRA-ER1 0.393057757332318 0.841671381425387
NFIL3 0.463964181162826 0.93100097279693
Myog 0.463964181162826 0.93100097279693
Foxo1 0.463964181162826 0.93100097279693
Gmeb1 0.463964181162826 0.93100097279693
Rhox11 0.463964181162826 0.93100097279693
EN2 0.463964181162826 0.93100097279693
FOXI1 0.463964181162826 0.93100097279693
GCM1 0.463964181162826 0.93100097279693
HSF1 0.463964181162826 0.93100097279693
LEF1 0.463964181162826 0.93100097279693
TFAP2C(var.3) 0.463964181162826 0.93100097279693
TCF3 0.463964181162826 0.93100097279693
Alx1 0.463964181162826 0.93100097279693
Sox11 0.463964181162826 0.93100097279693
TFAP2A(var.3) 0.463964181162826 0.93100097279693
FOXK1 0.463964181162826 0.93100097279693
FOSL2-JUNB 0.463964181162826 0.93100097279693
VDR 0.463964181162826 0.93100097279693
EGR1 0.463964181162826 0.93100097279693
Ddit3-Cebpa 0.536035818837173 1
PBX1 0.536035818837173 1
FOXG1 0.536035818837173 1
Foxj2 0.536035818837173 1
IRF8 0.536035818837173 1
MEOX1 0.536035818837173 1
MLX 0.536035818837173 1
SPI1 0.536035818837173 1
Nkx3-1 0.536035818837173 1
RHOXF1 0.536035818837173 1
RFX5 0.536035818837173 1
TFAP2B(var.3) 0.536035818837173 1
TCF4 0.536035818837173 1
HIF1A 0.536035818837173 1
RBPJ 0.536035818837173 1
JUN-JUNB(var.2) 0.536035818837173 1
IRF3 0.536035818837173 1
RARA-RXRA-IR2 0.536035818837173 1
Pax2 0.606942242667682 1
Rfx1 0.606942242667682 1
JUND 0.606942242667682 1
ZBTB33 0.606942242667682 1
CREB3 0.606942242667682 1
SPIC 0.606942242667682 1
ZNF410 0.606942242667682 1
Tcf7 0.606942242667682 1
HSF2 0.606942242667682 1
MYBL1 0.606942242667682 1
Alx4 0.606942242667682 1
ISL2 0.606942242667682 1
FOXP1 0.606942242667682 1
ZNF24 0.606942242667682 1
FOSL1-JUNB 0.606942242667682 1
IRF2 0.674464675127812 1
MAFG-NFE2L1 0.674464675127812 1
NFATC2 0.674464675127812 1
HOXA5 0.674464675127812 1
Myod1 0.674464675127812 1
SNAI2 0.674464675127812 1
CEBPG 0.674464675127812 1
ASCL1 0.674464675127812 1
JUN-JUNB 0.674464675127812 1
FOSB-JUNB(var.2) 0.674464675127812 1
IRF5 0.674464675127812 1
RARA-RXRA-IR6 0.674464675127812 1
Ahr-Arnt 0.736701674464544 1
MAX-MYC 0.736701674464544 1
SMAD2-SMAD3-SMAD4 0.736701674464544 1
FOXL1 0.736701674464544 1
HINFP 0.736701674464544 1
LHX6 0.736701674464544 1
NFIA 0.736701674464544 1
NHLH1 0.736701674464544 1
Mafb 0.736701674464544 1
Sox1 0.736701674464544 1
Dmbx1 0.736701674464544 1
FOSL1-JUN(var.2) 0.736701674464544 1
RORC 0.736701674464544 1
JUND(var.2) 0.792225820193887 1
FOSL1 0.792225820193887 1
E2F4 0.792225820193887 1
NFAT5 0.792225820193887 1
Tcfl5 0.792225820193887 1
OTX1 0.792225820193887 1
EGR2 0.792225820193887 1
ETV2 0.792225820193887 1
FEV 0.792225820193887 1
ZEB1 0.792225820193887 1
ZNF282 0.792225820193887 1
FOS-JUN(var.2) 0.792225820193887 1
RARA-RXRA-ER0 0.792225820193887 1
CTCF 0.840170479363352 1
E2F6 0.840170479363352 1
Stat6 0.840170479363352 1
Atf1 0.840170479363352 1
DMRT3 0.840170479363352 1
NKX3-2 0.840170479363352 1
OTX2 0.840170479363352 1
BATF3 0.840170479363352 1
NFE2 0.840170479363352 1
FOSL2-JUN(var.2) 0.840170479363352 1
FOSL2-JUNB(var.2) 0.840170479363352 1
JUNB(var.2) 0.840170479363352 1
FOSL1-JUND 0.840170479363352 1
FOSL2-JUND(var.2) 0.840170479363352 1
RARA-RXRA-DR1 0.840170479363352 1
RARA-RXRA-ER3 0.840170479363352 1
SREBF2 0.880239982685905 1
LIN54 0.880239982685905 1
Ar 0.880239982685905 1
JDP2(var.2) 0.880239982685905 1
BCL6B 0.880239982685905 1
ETV3 0.880239982685905 1
ATF7 0.880239982685905 1
MTF1 0.880239982685905 1
ELK1 0.880239982685905 1
HMBOX1 0.880239982685905 1
RARA-RXRA-DR2 0.880239982685905 1
MZF1 0.912650885931876 1
NFIC-TLX1 0.912650885931876 1
Gabpa 0.912650885931876 1
TCF7L2 0.912650885931876 1
ELK4 0.912650885931876 1
FLI1 0.912650885931876 1
NFIX 0.912650885931876 1
SPDEF 0.912650885931876 1
SRF 0.912650885931876 1
SCRT2 0.912650885931876 1
E2F3 0.912650885931876 1
ELK3 0.912650885931876 1
TFAP2C(var.2) 0.912650885931876 1
E2F2 0.912650885931876 1
MYB 0.912650885931876 1
PBX3 0.912650885931876 1
FOSL1-JUN 0.912650885931876 1
NR1A4-RXRA 0.912650885931876 1
Znf423 0.938023057664834 1
Nr2e3 0.938023057664834 1
JUNB 0.938023057664834 1
JDP2 0.938023057664834 1
NKX2-3 0.938023057664834 1
ETV4 0.938023057664834 1
MYBL2 0.938023057664834 1
NFKB1 0.938023057664834 1
RXRG 0.938023057664834 1
E2F8 0.938023057664834 1
SOX4 0.938023057664834 1
CREB1 0.938023057664834 1
FOSL1-JUND(var.2) 0.938023057664834 1
RORB 0.938023057664834 1
RARA-RXRA-IR5 0.938023057664834 1
RORA(var.2) 0.957244994777434 1
SRY 0.957244994777434 1
Sox5 0.957244994777434 1
POU2F2 0.957244994777434 1
ESR2 0.957244994777434 1
Crem 0.957244994777434 1
TFCP2 0.957244994777434 1
ETV1 0.957244994777434 1
RUNX2 0.957244994777434 1
NR1H4 0.957244994777434 1
PAX5 0.957244994777434 1
RARA-RXRA-ER4 0.957244994777434 1
PPARG 0.971337594071528 1
ARNT-HIF1A 0.971337594071528 1
NKX2-8 0.971337594071528 1
ERG 0.971337594071528 1
GCM2 0.971337594071528 1
GRHL2 0.971337594071528 1
KLF4 0.971337594071528 1
PBX2 0.971337594071528 1
PRDM1 0.971337594071528 1
ZBTB7A 0.971337594071528 1
RARA-RXRA-IR8 0.971337594071528 1
RARA-RXRA-ER7 0.971337594071528 1
STAT1 0.981335721949094 1
NR3C1 0.981335721949094 1
Pax6 0.98819939870528 1
RREB1 0.98819939870528 1
ZNF354C 0.98819939870528 1
JUN(var.2) 0.98819939870528 1
FOS 0.98819939870528 1
Bcl6 0.98819939870528 1
NFATC3 0.98819939870528 1
EHF 0.98819939870528 1
RARA 0.98819939870528 1
EGR3 0.98819939870528 1
POU3F3 0.98819939870528 1
SMAD3 0.98819939870528 1
GMEB2 0.98819939870528 1
CTCFL 0.98819939870528 1
FOSB-JUN 0.98819939870528 1
NR1H2-RXRA 0.992758509346037 1
Stat5a-Stat5b 0.992758509346037 1
NR2C2 0.992758509346037 1
Nr1h3-Rxra 0.992758509346037 1
Atf3 0.992758509346037 1
NRL 0.992758509346037 1
NFIC 0.992758509346037 1
POU5F1 0.992758509346037 1
RARA-RXRA-IR0 0.992758509346037 1
SPIB 0.995688464106856 1
Spz1 0.995688464106856 1
Stat4 0.995688464106856 1
STAT3 0.995688464106856 1
CENPB 0.995688464106856 1
ELF3 0.995688464106856 1
ELF5 0.995688464106856 1
ETV5 0.995688464106856 1
POU1F1 0.995688464106856 1
POU3F2 0.995688464106856 1
TFAP2A 0.995688464106856 1
TFAP2C 0.995688464106856 1
RXRB 0.995688464106856 1
TFDP1 0.995688464106856 1
TCF7L1 0.995688464106856 1
RARA-RXRA-DR3 0.995688464106856 1
SREBF1 0.997510131632061 1
NFATC1 0.997510131632061 1
E2F7 0.997510131632061 1
ELF1 0.997510131632061 1
ETS1 0.997510131632061 1
POU3F4 0.997510131632061 1
TFAP2A(var.2) 0.997510131632061 1
TFAP2B 0.997510131632061 1
SOX10 0.997510131632061 1
Smad4 0.997510131632061 1
RARA-RXRA-ER2 0.997510131632061 1
RELA 0.998605782769654 1
Pou2f3 0.998605782769654 1
Rarb(var.2) 0.998605782769654 1
RARA-RXRA-DR6 0.998605782769654 1
RARA-RXRA-ER6 0.998605782769654 1
ZNF263 0.999243217295327 1
THAP1 0.999243217295327 1
NR3C2 0.999243217295327 1
ZNF143 0.999243217295327 1
RARA-RXRA-IR4 0.999243217295327 1
RARA-RXRA-IR7 0.999243217295327 1
ELF4 0.999601909265706 1
Nr2f6(var.2) 0.999601909265706 1
POU2F1 0.999601909265706 1
POU3F1 0.999601909265706 1
POU5F1B 0.999601909265706 1
TFAP2B(var.2) 0.999601909265706 1
Rarg(var.2) 0.999601909265706 1
RELB 0.999601909265706 1
RARA-RXRA-DR4 0.999601909265706 1
RARA-RXRA-IR1 0.999601909265706 1
Nr2f6 0.999797114149127 1
SOX21 0.999797114149127 1
Nkx2-5(var.2) 0.999899844854724 1
ETV6 0.999899844854724 1
ZBTB7B 0.999899844854724 1
RARA(var.2) 0.999899844854724 1
EGR4 0.999899844854724 1
NR4A2-RXRA 0.999899844854724 1
RARA-RXRA-DR7 0.999899844854724 1
RARA-RXRA-IR3 0.999899844854724 1
INSM1 0.999952121228266 1
ERF 0.999952121228266 1
TEAD4 0.999952121228266 1
RARA-RXRA-DR5 0.999952121228266 1
EWSR1-FLI1 0.999977840495477 1
Rxra 0.999977840495477 1
TEAD1 0.999977840495477 1
Rarb 0.999977840495477 1
RARA-RXRG 0.999977840495477 1
Sox17 0.999990072829881 1
RARA-RXRA 0.999990072829881 1
PLAG1 0.999990072829881 1
HNF4G 0.999990072829881 1
Rarg 0.999990072829881 1
RARA-RXRA-ER8 0.999990072829881 1
ESR1 0.999995696302809 1
NFKB2 0.999995696302809 1
SOX9 0.999998194855088 1
Pparg-Rxra 0.999998194855088 1
Nr5a2 0.999998194855088 1
TEAD3 0.999998194855088 1
RARA-RXRA-DR8 0.999998194855088 1
MZF1(var.2) 0.999999267613678 1
Hnf4a 0.999999267613678 1
REL 0.999999712637718 1
Sox2 0.999999712637718 1
EBF1 0.999999712637718 1
KLF13 0.999999712637718 1
KLF9 0.999999890985613 1
TEAD2 0.999999890985613 1
RARA-RXRA-DR0 0.999999890985613 1
Sox3 0.999999960023507 1
ZBTB7C 0.999999960023507 1
ESRRB 0.999999960023507 1
Esrra 0.999999960023507 1
RARA-RXRA-ER5 0.999999960023507 1
GLIS1 0.999999985832491 1
Zfx 0.999999995148792 1
Esrrg 0.999999995148792 1
GLIS2 0.999999995148792 1
SOX13 0.999999995148792 1
RORA 0.999999998395382 1
Sox6 0.999999998395382 1
GLIS3 0.999999998395382 1
NR4A2 0.999999999487428 1
NR2F2 0.999999999487428 1
NR4A1 0.999999999487428 1
SP8 0.999999999841914 1
SOX15 0.999999999841914 1
Nr2e1 0.999999999952937 1
KLF14 0.999999999952937 1
Klf12 0.999999999952937 1
ZNF740 0.999999999952937 1
SP3 0.999999999986479 1
NR2F1 0.999999999998998 1
SP2 0.999999999999936 1
SP4 0.999999999999985 1
KLF16 0.999999999999985 1
Pou5f1-Sox2 1 1
Klf1 1 1
SP1 1 1
KLF5 1 1
ZIC1 1 1
ZIC3 1 1
ZIC4 1 1
