pvalues_mESC_high padj_mESC_high
RARA-RXRA-DR8 4.30369719099009e-06 5.43341770362499e-05
ESR1 9.92717011866499e-06 0.00012031730183822
NFKB2 9.92717011866499e-06 0.00012031730183822
Sox17 2.21595045234658e-05 0.000239797495378934
RARA-RXRA 2.21595045234658e-05 0.000239797495378934
PLAG1 2.21595045234658e-05 0.000239797495378934
HNF4G 2.21595045234658e-05 0.000239797495378934
Rarg 2.21595045234658e-05 0.000239797495378934
RARA-RXRA-ER8 2.21595045234658e-05 0.000239797495378934
EWSR1-FLI1 4.78787717335607e-05 0.000475648125746521
Rxra 4.78787717335607e-05 0.000475648125746521
TEAD1 4.78787717335607e-05 0.000475648125746521
Rarb 4.78787717335607e-05 0.000475648125746521
RARA-RXRG 4.78787717335607e-05 0.000475648125746521
INSM1 0.000100155145275448 0.000933754123644944
ERF 0.000100155145275448 0.000933754123644944
TEAD4 0.000100155145275448 0.000933754123644944
RARA-RXRA-DR5 0.000100155145275448 0.000933754123644944
Nkx2-5(var.2) 0.000202885850872635 0.00168423048806599
ETV6 0.000202885850872635 0.00168423048806599
ZBTB7B 0.000202885850872635 0.00168423048806599
RARA(var.2) 0.000202885850872635 0.00168423048806599
EGR4 0.000202885850872635 0.00168423048806599
NR4A2-RXRA 0.000202885850872635 0.00168423048806599
RARA-RXRA-DR7 0.000202885850872635 0.00168423048806599
RARA-RXRA-IR3 0.000202885850872635 0.00168423048806599
Nr2f6 0.000398090734294023 0.0032165731330957
SOX21 0.000398090734294023 0.0032165731330957
ELF4 0.000756782704672822 0.00539541551802035
Nr2f6(var.2) 0.000756782704672822 0.00539541551802035
POU2F1 0.000756782704672822 0.00539541551802035
POU3F1 0.000756782704672822 0.00539541551802035
POU5F1B 0.000756782704672822 0.00539541551802035
TFAP2B(var.2) 0.000756782704672822 0.00539541551802035
Rarg(var.2) 0.000756782704672822 0.00539541551802035
RELB 0.000756782704672822 0.00539541551802035
RARA-RXRA-DR4 0.000756782704672822 0.00539541551802035
RARA-RXRA-IR1 0.000756782704672822 0.00539541551802035
ZNF263 0.00139421723034599 0.00928456748999635
THAP1 0.00139421723034599 0.00928456748999635
NR3C2 0.00139421723034599 0.00928456748999635
ZNF143 0.00139421723034599 0.00928456748999635
RARA-RXRA-IR4 0.00139421723034599 0.00928456748999635
RARA-RXRA-IR7 0.00139421723034599 0.00928456748999635
RELA 0.00248986836793923 0.0157172940726164
Pou2f3 0.00248986836793923 0.0157172940726164
Rarb(var.2) 0.00248986836793923 0.0157172940726164
RARA-RXRA-DR6 0.00248986836793923 0.0157172940726164
RARA-RXRA-ER6 0.00248986836793923 0.0157172940726164
SREBF1 0.00431153589314395 0.0244186051518246
NFATC1 0.00431153589314395 0.0244186051518246
E2F7 0.00431153589314395 0.0244186051518246
ELF1 0.00431153589314395 0.0244186051518246
ETS1 0.00431153589314395 0.0244186051518246
POU3F4 0.00431153589314395 0.0244186051518246
TFAP2A(var.2) 0.00431153589314395 0.0244186051518246
TFAP2B 0.00431153589314395 0.0244186051518246
SOX10 0.00431153589314395 0.0244186051518246
Smad4 0.00431153589314395 0.0244186051518246
RARA-RXRA-ER2 0.00431153589314395 0.0244186051518246
SPIB 0.00724149065396276 0.0356775881000116
Spz1 0.00724149065396276 0.0356775881000116
Stat4 0.00724149065396276 0.0356775881000116
STAT3 0.00724149065396276 0.0356775881000116
CENPB 0.00724149065396276 0.0356775881000116
ELF3 0.00724149065396276 0.0356775881000116
ELF5 0.00724149065396276 0.0356775881000116
ETV5 0.00724149065396276 0.0356775881000116
POU1F1 0.00724149065396276 0.0356775881000116
POU3F2 0.00724149065396276 0.0356775881000116
TFAP2A 0.00724149065396276 0.0356775881000116
TFAP2C 0.00724149065396276 0.0356775881000116
RXRB 0.00724149065396276 0.0356775881000116
TFDP1 0.00724149065396276 0.0356775881000116
TCF7L1 0.00724149065396276 0.0356775881000116
RARA-RXRA-DR3 0.00724149065396276 0.0356775881000116
NR1H2-RXRA 0.0118006012947196 0.0541754877621217
Stat5a-Stat5b 0.0118006012947196 0.0541754877621217
NR2C2 0.0118006012947196 0.0541754877621217
Nr1h3-Rxra 0.0118006012947196 0.0541754877621217
Atf3 0.0118006012947196 0.0541754877621217
NRL 0.0118006012947196 0.0541754877621217
NFIC 0.0118006012947196 0.0541754877621217
POU5F1 0.0118006012947196 0.0541754877621217
RARA-RXRA-IR0 0.0118006012947196 0.0541754877621217
Pax6 0.018664278050906 0.0769425340057757
RREB1 0.018664278050906 0.0769425340057757
ZNF354C 0.018664278050906 0.0769425340057757
JUN(var.2) 0.018664278050906 0.0769425340057757
FOS 0.018664278050906 0.0769425340057757
Bcl6 0.018664278050906 0.0769425340057757
NFATC3 0.018664278050906 0.0769425340057757
EHF 0.018664278050906 0.0769425340057757
RARA 0.018664278050906 0.0769425340057757
EGR3 0.018664278050906 0.0769425340057757
POU3F3 0.018664278050906 0.0769425340057757
SMAD3 0.018664278050906 0.0769425340057757
GMEB2 0.018664278050906 0.0769425340057757
CTCFL 0.018664278050906 0.0769425340057757
FOSB-JUN 0.018664278050906 0.0769425340057757
STAT1 0.0286624059284723 0.116573275118485
NR3C1 0.0286624059284723 0.116573275118485
PPARG 0.0427550052225658 0.160928777421583
ARNT-HIF1A 0.0427550052225658 0.160928777421583
NKX2-8 0.0427550052225658 0.160928777421583
ERG 0.0427550052225658 0.160928777421583
GCM2 0.0427550052225658 0.160928777421583
GRHL2 0.0427550052225658 0.160928777421583
KLF4 0.0427550052225658 0.160928777421583
PBX2 0.0427550052225658 0.160928777421583
PRDM1 0.0427550052225658 0.160928777421583
ZBTB7A 0.0427550052225658 0.160928777421583
RARA-RXRA-IR8 0.0427550052225658 0.160928777421583
RARA-RXRA-ER7 0.0427550052225658 0.160928777421583
RORA(var.2) 0.0619769423351658 0.217098422283876
SRY 0.0619769423351658 0.217098422283876
Sox5 0.0619769423351658 0.217098422283876
POU2F2 0.0619769423351658 0.217098422283876
ESR2 0.0619769423351658 0.217098422283876
Crem 0.0619769423351658 0.217098422283876
TFCP2 0.0619769423351658 0.217098422283876
ETV1 0.0619769423351658 0.217098422283876
RUNX2 0.0619769423351658 0.217098422283876
NR1H4 0.0619769423351658 0.217098422283876
PAX5 0.0619769423351658 0.217098422283876
RARA-RXRA-ER4 0.0619769423351658 0.217098422283876
Znf423 0.0873491140681235 0.281561505985547
Nr2e3 0.0873491140681235 0.281561505985547
JUNB 0.0873491140681235 0.281561505985547
JDP2 0.0873491140681235 0.281561505985547
NKX2-3 0.0873491140681235 0.281561505985547
ETV4 0.0873491140681235 0.281561505985547
MYBL2 0.0873491140681235 0.281561505985547
NFKB1 0.0873491140681235 0.281561505985547
RXRG 0.0873491140681235 0.281561505985547
E2F8 0.0873491140681235 0.281561505985547
SOX4 0.0873491140681235 0.281561505985547
CREB1 0.0873491140681235 0.281561505985547
FOSL1-JUND(var.2) 0.0873491140681235 0.281561505985547
RORB 0.0873491140681235 0.281561505985547
RARA-RXRA-IR5 0.0873491140681235 0.281561505985547
MZF1 0.119760017314095 0.352303740254086
NFIC-TLX1 0.119760017314095 0.352303740254086
Gabpa 0.119760017314095 0.352303740254086
TCF7L2 0.119760017314095 0.352303740254086
ELK4 0.119760017314095 0.352303740254086
FLI1 0.119760017314095 0.352303740254086
NFIX 0.119760017314095 0.352303740254086
SPDEF 0.119760017314095 0.352303740254086
SRF 0.119760017314095 0.352303740254086
SCRT2 0.119760017314095 0.352303740254086
E2F3 0.119760017314095 0.352303740254086
ELK3 0.119760017314095 0.352303740254086
TFAP2C(var.2) 0.119760017314095 0.352303740254086
E2F2 0.119760017314095 0.352303740254086
MYB 0.119760017314095 0.352303740254086
PBX3 0.119760017314095 0.352303740254086
FOSL1-JUN 0.119760017314095 0.352303740254086
NR1A4-RXRA 0.119760017314095 0.352303740254086
SREBF2 0.159829520636648 0.446344191271008
LIN54 0.159829520636648 0.446344191271008
Ar 0.159829520636648 0.446344191271008
JDP2(var.2) 0.159829520636648 0.446344191271008
BCL6B 0.159829520636648 0.446344191271008
ETV3 0.159829520636648 0.446344191271008
ATF7 0.159829520636648 0.446344191271008
MTF1 0.159829520636648 0.446344191271008
ELK1 0.159829520636648 0.446344191271008
HMBOX1 0.159829520636648 0.446344191271008
RARA-RXRA-DR2 0.159829520636648 0.446344191271008
CTCF 0.207774179806113 0.540391214431349
E2F6 0.207774179806113 0.540391214431349
Stat6 0.207774179806113 0.540391214431349
Atf1 0.207774179806113 0.540391214431349
DMRT3 0.207774179806113 0.540391214431349
NKX3-2 0.207774179806113 0.540391214431349
OTX2 0.207774179806113 0.540391214431349
BATF3 0.207774179806113 0.540391214431349
NFE2 0.207774179806113 0.540391214431349
FOSL2-JUN(var.2) 0.207774179806113 0.540391214431349
FOSL2-JUNB(var.2) 0.207774179806113 0.540391214431349
JUNB(var.2) 0.207774179806113 0.540391214431349
FOSL1-JUND 0.207774179806113 0.540391214431349
FOSL2-JUND(var.2) 0.207774179806113 0.540391214431349
RARA-RXRA-DR1 0.207774179806113 0.540391214431349
RARA-RXRA-ER3 0.207774179806113 0.540391214431349
JUND(var.2) 0.263298325535456 0.648612948270269
FOSL1 0.263298325535456 0.648612948270269
E2F4 0.263298325535456 0.648612948270269
NFAT5 0.263298325535456 0.648612948270269
Tcfl5 0.263298325535456 0.648612948270269
OTX1 0.263298325535456 0.648612948270269
EGR2 0.263298325535456 0.648612948270269
ETV2 0.263298325535456 0.648612948270269
FEV 0.263298325535456 0.648612948270269
ZEB1 0.263298325535456 0.648612948270269
ZNF282 0.263298325535456 0.648612948270269
FOS-JUN(var.2) 0.263298325535456 0.648612948270269
RARA-RXRA-ER0 0.263298325535456 0.648612948270269
Ahr-Arnt 0.325535324872188 0.761677246612148
MAX-MYC 0.325535324872188 0.761677246612148
SMAD2-SMAD3-SMAD4 0.325535324872188 0.761677246612148
FOXL1 0.325535324872188 0.761677246612148
HINFP 0.325535324872188 0.761677246612148
LHX6 0.325535324872188 0.761677246612148
NFIA 0.325535324872188 0.761677246612148
NHLH1 0.325535324872188 0.761677246612148
Mafb 0.325535324872188 0.761677246612148
Sox1 0.325535324872188 0.761677246612148
Dmbx1 0.325535324872188 0.761677246612148
FOSL1-JUN(var.2) 0.325535324872188 0.761677246612148
RORC 0.325535324872188 0.761677246612148
IRF2 0.393057757332318 0.878940962890718
MAFG-NFE2L1 0.393057757332318 0.878940962890718
NFATC2 0.393057757332318 0.878940962890718
HOXA5 0.393057757332318 0.878940962890718
Myod1 0.393057757332318 0.878940962890718
SNAI2 0.393057757332318 0.878940962890718
CEBPG 0.393057757332318 0.878940962890718
ASCL1 0.393057757332318 0.878940962890718
JUN-JUNB 0.393057757332318 0.878940962890718
FOSB-JUNB(var.2) 0.393057757332318 0.878940962890718
IRF5 0.393057757332318 0.878940962890718
RARA-RXRA-IR6 0.393057757332318 0.878940962890718
Pax2 0.463964181162827 0.983084943303052
Rfx1 0.463964181162827 0.983084943303052
JUND 0.463964181162827 0.983084943303052
ZBTB33 0.463964181162827 0.983084943303052
CREB3 0.463964181162827 0.983084943303052
SPIC 0.463964181162827 0.983084943303052
ZNF410 0.463964181162827 0.983084943303052
Tcf7 0.463964181162827 0.983084943303052
HSF2 0.463964181162827 0.983084943303052
MYBL1 0.463964181162827 0.983084943303052
Alx4 0.463964181162827 0.983084943303052
ISL2 0.463964181162827 0.983084943303052
FOXP1 0.463964181162827 0.983084943303052
ZNF24 0.463964181162827 0.983084943303052
FOSL1-JUNB 0.463964181162827 0.983084943303052
Ddit3-Cebpa 0.536035818837174 0.999999985832491
PBX1 0.536035818837174 0.999999985832491
FOXG1 0.536035818837174 0.999999985832491
Foxj2 0.536035818837174 0.999999985832491
IRF8 0.536035818837174 0.999999985832491
MEOX1 0.536035818837174 0.999999985832491
MLX 0.536035818837174 0.999999985832491
SPI1 0.536035818837174 0.999999985832491
Nkx3-1 0.536035818837174 0.999999985832491
RHOXF1 0.536035818837174 0.999999985832491
RFX5 0.536035818837174 0.999999985832491
TFAP2B(var.3) 0.536035818837174 0.999999985832491
TCF4 0.536035818837174 0.999999985832491
HIF1A 0.536035818837174 0.999999985832491
RBPJ 0.536035818837174 0.999999985832491
JUN-JUNB(var.2) 0.536035818837174 0.999999985832491
IRF3 0.536035818837174 0.999999985832491
RARA-RXRA-IR2 0.536035818837174 0.999999985832491
NFIL3 0.606942242667682 0.999999985832491
Myog 0.606942242667682 0.999999985832491
Foxo1 0.606942242667682 0.999999985832491
Gmeb1 0.606942242667682 0.999999985832491
Rhox11 0.606942242667682 0.999999985832491
EN2 0.606942242667682 0.999999985832491
FOXI1 0.606942242667682 0.999999985832491
GCM1 0.606942242667682 0.999999985832491
HSF1 0.606942242667682 0.999999985832491
LEF1 0.606942242667682 0.999999985832491
TFAP2C(var.3) 0.606942242667682 0.999999985832491
TCF3 0.606942242667682 0.999999985832491
Alx1 0.606942242667682 0.999999985832491
Sox11 0.606942242667682 0.999999985832491
TFAP2A(var.3) 0.606942242667682 0.999999985832491
FOXK1 0.606942242667682 0.999999985832491
FOSL2-JUNB 0.606942242667682 0.999999985832491
VDR 0.606942242667682 0.999999985832491
EGR1 0.606942242667682 0.999999985832491
Hand1-Tcf3 0.674464675127812 0.999999985832491
NFYB 0.674464675127812 0.999999985832491
FOXH1 0.674464675127812 0.999999985832491
Crx 0.674464675127812 0.999999985832491
FOXA1 0.674464675127812 0.999999985832491
FOXD2 0.674464675127812 0.999999985832491
FOS-JUND 0.674464675127812 0.999999985832491
RARA-RXRA-ER1 0.674464675127812 0.999999985832491
GATA1-TAL1 0.736701674464544 0.999999985832491
Six3 0.736701674464544 0.999999985832491
BARHL2 0.736701674464544 0.999999985832491
TFAP4 0.736701674464544 0.999999985832491
LBX2 0.736701674464544 0.999999985832491
Lhx8 0.736701674464544 0.999999985832491
MEIS3 0.736701674464544 0.999999985832491
ID4 0.736701674464544 0.999999985832491
HOXC13 0.736701674464544 0.999999985832491
NFYA 0.736701674464544 0.999999985832491
GATA3 0.736701674464544 0.999999985832491
FOSL2-JUND 0.736701674464544 0.999999985832491
IRF4 0.736701674464544 0.999999985832491
Gfi1 0.792225820193887 0.999999985832491
RXRA-VDR 0.792225820193887 0.999999985832491
HLTF 0.792225820193887 0.999999985832491
Npas2 0.792225820193887 0.999999985832491
HLF 0.792225820193887 0.999999985832491
PITX3 0.792225820193887 0.999999985832491
SCRT1 0.792225820193887 0.999999985832491
POU6F2 0.792225820193887 0.999999985832491
TBX19 0.792225820193887 0.999999985832491
FIGLA 0.792225820193887 0.999999985832491
ATF4 0.792225820193887 0.999999985832491
Foxj3 0.792225820193887 0.999999985832491
Arx 0.792225820193887 0.999999985832491
BSX 0.792225820193887 0.999999985832491
HOXA2 0.792225820193887 0.999999985832491
Hoxa11 0.792225820193887 0.999999985832491
FOXK2 0.792225820193887 0.999999985832491
FOS-JUNB 0.792225820193887 0.999999985832491
FOSB-JUNB 0.792225820193887 0.999999985832491
PPARA-RXRA 0.792225820193887 0.999999985832491
FOXD1 0.840170479363352 0.999999985832491
Foxq1 0.840170479363352 0.999999985832491
Foxa2 0.840170479363352 0.999999985832491
Gfi1b 0.840170479363352 0.999999985832491
IRF1 0.840170479363352 0.999999985832491
Dux 0.840170479363352 0.999999985832491
FOXO3 0.840170479363352 0.999999985832491
ZBTB18 0.840170479363352 0.999999985832491
PAX1 0.840170479363352 0.999999985832491
Ascl2 0.840170479363352 0.999999985832491
FOXO4 0.840170479363352 0.999999985832491
FOXP3 0.840170479363352 0.999999985832491
TP73 0.840170479363352 0.999999985832491
E2F1 0.840170479363352 0.999999985832491
FOSL2-JUN 0.840170479363352 0.999999985832491
RUNX1 0.880239982685905 0.999999985832491
FOSL2 0.880239982685905 0.999999985832491
Creb3l2 0.880239982685905 0.999999985832491
LBX1 0.880239982685905 0.999999985832491
GRHL1 0.880239982685905 0.999999985832491
LHX2 0.880239982685905 0.999999985832491
IRF7 0.880239982685905 0.999999985832491
RFX2 0.880239982685905 0.999999985832491
XBP1 0.880239982685905 0.999999985832491
FOXC2 0.880239982685905 0.999999985832491
DUXA 0.880239982685905 0.999999985832491
HOXC12 0.880239982685905 0.999999985832491
SIX2 0.880239982685905 0.999999985832491
TBP 0.912650885931876 0.999999985832491
Hoxc9 0.912650885931876 0.999999985832491
DUX4 0.912650885931876 0.999999985832491
Tcf12 0.912650885931876 0.999999985832491
Bach1-Mafk 0.912650885931876 0.999999985832491
HEY2 0.912650885931876 0.999999985832491
NKX6-1 0.912650885931876 0.999999985832491
TBX20 0.912650885931876 0.999999985832491
MNX1 0.912650885931876 0.999999985832491
VAX2 0.912650885931876 0.999999985832491
HSF4 0.912650885931876 0.999999985832491
Creb5 0.912650885931876 0.999999985832491
HOXD12 0.912650885931876 0.999999985832491
HOXD11 0.912650885931876 0.999999985832491
TFE3 0.912650885931876 0.999999985832491
REST 0.938023057664834 0.999999985832491
NRF1 0.938023057664834 0.999999985832491
FOXP2 0.938023057664834 0.999999985832491
ONECUT1 0.938023057664834 0.999999985832491
PAX9 0.938023057664834 0.999999985832491
PROX1 0.938023057664834 0.999999985832491
OLIG1 0.938023057664834 0.999999985832491
FOXC1 0.938023057664834 0.999999985832491
FOXO6 0.938023057664834 0.999999985832491
SOX8 0.938023057664834 0.999999985832491
MXI1 0.938023057664834 0.999999985832491
FOS-JUN 0.938023057664834 0.999999985832491
CDX2 0.957244994777434 0.999999985832491
DBP 0.957244994777434 0.999999985832491
HOXC11 0.957244994777434 0.999999985832491
RUNX3 0.957244994777434 0.999999985832491
MEOX2 0.957244994777434 0.999999985832491
EOMES 0.957244994777434 0.999999985832491
BHLHE22 0.957244994777434 0.999999985832491
OLIG3 0.957244994777434 0.999999985832491
CREB3L1 0.957244994777434 0.999999985832491
FOXB1 0.957244994777434 0.999999985832491
GSC2 0.957244994777434 0.999999985832491
Hmx2 0.957244994777434 0.999999985832491
HOXC10 0.957244994777434 0.999999985832491
GATA2 0.957244994777434 0.999999985832491
Mecom 0.971337594071528 0.999999985832491
CEBPA 0.971337594071528 0.999999985832491
Gata1 0.971337594071528 0.999999985832491
ALX3 0.971337594071528 0.999999985832491
MSX1 0.971337594071528 0.999999985832491
POU4F2 0.971337594071528 0.999999985832491
VENTX 0.971337594071528 0.999999985832491
GLI2 0.971337594071528 0.999999985832491
CUX2 0.971337594071528 0.999999985832491
ONECUT2 0.971337594071528 0.999999985832491
ONECUT3 0.971337594071528 0.999999985832491
GATA5 0.971337594071528 0.999999985832491
PAX3 0.971337594071528 0.999999985832491
TBX5 0.971337594071528 0.999999985832491
HEY1 0.971337594071528 0.999999985832491
MAX 0.971337594071528 0.999999985832491
TEF 0.971337594071528 0.999999985832491
Barhl1 0.971337594071528 0.999999985832491
FOXF2 0.981335721949094 0.999999985832491
Foxd3 0.981335721949094 0.999999985832491
TAL1-TCF3 0.981335721949094 0.999999985832491
Gata4 0.981335721949094 0.999999985832491
BATF-JUN 0.981335721949094 0.999999985832491
Bhlha15 0.981335721949094 0.999999985832491
GSC 0.981335721949094 0.999999985832491
PAX7 0.981335721949094 0.999999985832491
Lhx4 0.981335721949094 0.999999985832491
MEF2D 0.981335721949094 0.999999985832491
RFX4 0.981335721949094 0.999999985832491
MGA 0.981335721949094 0.999999985832491
TBR1 0.981335721949094 0.999999985832491
Hmx1 0.981335721949094 0.999999985832491
HOXD13 0.981335721949094 0.999999985832491
NEUROD1 0.981335721949094 0.999999985832491
TWIST1 0.981335721949094 0.999999985832491
ZSCAN4 0.981335721949094 0.999999985832491
STAT1-STAT2 0.98819939870528 0.999999985832491
Hoxa9 0.98819939870528 0.999999985832491
Hes1 0.98819939870528 0.999999985832491
NEUROD2 0.98819939870528 0.999999985832491
Pitx1 0.98819939870528 0.999999985832491
TBX21 0.98819939870528 0.999999985832491
RFX3 0.98819939870528 0.999999985832491
TBX15 0.98819939870528 0.999999985832491
Atoh1 0.98819939870528 0.999999985832491
BHLHE40 0.98819939870528 0.999999985832491
HES7 0.98819939870528 0.999999985832491
SREBF2(var.2) 0.98819939870528 0.999999985832491
Srebf1(var.2) 0.98819939870528 0.999999985832491
EMX2 0.98819939870528 0.999999985832491
GATA6 0.98819939870528 0.999999985832491
SIX1 0.98819939870528 0.999999985832491
HNF1B 0.992758509346037 0.999999985832491
PAX4 0.992758509346037 0.999999985832491
LMX1A 0.992758509346037 0.999999985832491
LMX1B 0.992758509346037 0.999999985832491
CUX1 0.992758509346037 0.999999985832491
BHLHE23 0.992758509346037 0.999999985832491
TP53 0.992758509346037 0.999999985832491
EVX1 0.992758509346037 0.999999985832491
GSX1 0.992758509346037 0.999999985832491
HOXB13 0.992758509346037 0.999999985832491
HOXB3 0.992758509346037 0.999999985832491
Hoxb5 0.992758509346037 0.999999985832491
BACH2 0.992758509346037 0.999999985832491
MAFF 0.992758509346037 0.999999985832491
MYC 0.992758509346037 0.999999985832491
ZNF384 0.992758509346037 0.999999985832491
Id2 0.995688464106856 0.999999985832491
MIXL1 0.995688464106856 0.999999985832491
T 0.995688464106856 0.999999985832491
CLOCK 0.995688464106856 0.999999985832491
CEBPB 0.995688464106856 0.999999985832491
Hmx3 0.995688464106856 0.999999985832491
MYCN 0.995688464106856 0.999999985832491
Arnt 0.997510131632061 0.999999985832491
JUN 0.997510131632061 0.999999985832491
Nfe2l2 0.997510131632061 0.999999985832491
Arid5a 0.997510131632061 0.999999985832491
ESX1 0.997510131632061 0.999999985832491
HNF1A 0.997510131632061 0.999999985832491
MSC 0.997510131632061 0.999999985832491
MYF6 0.997510131632061 0.999999985832491
TBX4 0.997510131632061 0.999999985832491
CEBPE 0.997510131632061 0.999999985832491
Arid3a 0.998605782769654 0.999999985832491
Arid3b 0.998605782769654 0.999999985832491
Mlxip 0.998605782769654 0.999999985832491
BHLHE41 0.998605782769654 0.999999985832491
MAFG 0.998605782769654 0.999999985832491
MEF2B 0.998605782769654 0.999999985832491
TBX2 0.998605782769654 0.999999985832491
MSX2 0.998605782769654 0.999999985832491
NOTO 0.998605782769654 0.999999985832491
HIC2 0.998605782769654 0.999999985832491
POU4F3 0.998605782769654 0.999999985832491
Hoxd3 0.998605782769654 0.999999985832491
MAFK 0.998605782769654 0.999999985832491
Arntl 0.999243217295327 0.999999985832491
NKX6-2 0.999243217295327 0.999999985832491
OLIG2 0.999243217295327 0.999999985832491
TFEB 0.999243217295327 0.999999985832491
VAX1 0.999243217295327 0.999999985832491
YY2 0.999243217295327 0.999999985832491
MEF2A 0.999243217295327 0.999999985832491
POU4F1 0.999243217295327 0.999999985832491
HES5 0.999243217295327 0.999999985832491
CEBPD 0.999243217295327 0.999999985832491
TFEC 0.999243217295327 0.999999985832491
EVX2 0.999243217295327 0.999999985832491
GSX2 0.999243217295327 0.999999985832491
HOXB2 0.999243217295327 0.999999985832491
Lhx3 0.999601909265706 0.999999985832491
MEF2C 0.999601909265706 0.999999985832491
Hes2 0.999601909265706 0.999999985832491
ISX 0.999601909265706 0.999999985832491
PDX1 0.999601909265706 0.999999985832491
VSX2 0.999601909265706 0.999999985832491
MEIS1 0.999601909265706 0.999999985832491
TBX1 0.999601909265706 0.999999985832491
MNT 0.999601909265706 0.999999985832491
Tcf21 0.999601909265706 0.999999985832491
BARX1 0.999601909265706 0.999999985832491
CDX1 0.999601909265706 0.999999985832491
Prrx2 0.999797114149127 0.999999985832491
Hic1 0.999797114149127 0.999999985832491
ZBED1 0.999797114149127 0.999999985832491
HESX1 0.999797114149127 0.999999985832491
Nkx2-5 0.999899844854724 0.999999985832491
USF1 0.999899844854724 0.999999985832491
mix-a 0.999899844854724 0.999999985832491
EN1 0.999899844854724 0.999999985832491
HOXA13 0.999899844854724 0.999999985832491
MLXIPL 0.999899844854724 0.999999985832491
RAX2 0.999899844854724 0.999999985832491
UNCX 0.999899844854724 0.999999985832491
MEIS2 0.999899844854724 0.999999985832491
TGIF2 0.999899844854724 0.999999985832491
TP63 0.999899844854724 0.999999985832491
GBX1 0.999899844854724 0.999999985832491
YY1 0.999952121228266 0.999999985832491
EMX1 0.999952121228266 0.999999985832491
PRRX1 0.999952121228266 0.999999985832491
Shox2 0.999952121228266 0.999999985832491
VSX1 0.999952121228266 0.999999985832491
PKNOX2 0.999952121228266 0.999999985832491
POU6F1 0.999977840495477 0.999999985832491
SHOX 0.999977840495477 0.999999985832491
LHX9 0.999977840495477 0.999999985832491
TGIF1 0.999977840495477 0.999999985832491
MITF 0.999977840495477 0.999999985832491
MAF-NFE2 0.999990072829881 0.999999985832491
NEUROG2 0.999990072829881 0.999999985832491
PKNOX1 0.999990072829881 0.999999985832491
Dlx4 0.999990072829881 0.999999985832491
GBX2 0.999990072829881 0.999999985832491
Msx3 0.999995696302809 0.999999985832491
RAX 0.999995696302809 0.999999985832491
DLX6 0.999995696302809 0.999999985832491
Hoxd9 0.999995696302809 0.999999985832491
Nobox 0.999998194855088 0.999999985832491
Neurog1 0.999998194855088 0.999999985832491
Dlx3 0.999998194855088 0.999999985832491
Dlx2 0.999998194855088 0.999999985832491
HOXA10 0.999998194855088 0.999999985832491
USF2 0.999998194855088 0.999999985832491
